Country,Country Code,2010,2011,2012,2013,2014
Aruba,ABW,1.776,1.783,1.791,1.796,1.8
Afghanistan,AFG,5.816,5.595,5.38,5.174,4.981
Angola,AGO,6.162,6.082,6,5.92,5.841
Albania,ALB,1.653,1.668,1.685,1.7,1.71
Andorra,AND,1.27,,,,
Arab World,ARB,3.471665775,3.47000274,3.461347255,3.442828657,3.413299455
United Arab Emirates,ARE,1.869,1.841,1.82,1.801,1.783
Argentina,ARG,2.37,2.358,2.347,2.335,2.322
Armenia,ARM,1.693,1.68,1.664,1.648,1.634
American Samoa,ASM,,,,,
Antigua and Barbuda,ATG,2.13,2.115,2.102,2.089,2.076
Australia,AUS,1.928,1.926,1.917,1.851,1.821
Austria,AUT,1.44,1.43,1.44,1.44,1.47
Azerbaijan,AZE,1.92,1.96,2,1.98,1.97
Burundi,BDI,6.256,6.156,6.058,5.962,5.869
Belgium,BEL,1.86,1.81,1.79,1.75,1.74
Benin,BEN,5.362,5.305,5.246,5.183,5.117
Burkina Faso,BFA,5.868,5.781,5.693,5.607,5.521
Bangladesh,BGD,2.328,2.279,2.236,2.199,2.165
Bulgaria,BGR,1.57,1.51,1.5,1.48,1.53
Bahrain,BHR,2.164,2.139,2.118,2.098,2.078
"Bahamas, The",BHS,1.865,1.847,1.827,1.808,1.792
Bosnia and Herzegovina,BIH,1.306,1.309,1.314,1.322,1.332
Belarus,BLR,1.494,1.515,1.62,1.668,1.696
Belize,BLZ,2.715,2.676,2.642,2.61,2.578
Bermuda,BMU,1.76,1.59,1.59,1.63,1.63
Bolivia,BOL,3.2,3.134,3.072,3.017,2.966
Brazil,BRA,1.805,1.79,1.777,1.765,1.753
Barbados,BRB,1.781,1.785,1.788,1.791,1.794
Brunei Darussalam,BRN,1.838,1.857,1.874,1.884,1.888
Bhutan,BTN,2.382,2.305,2.236,2.177,2.128
Botswana,BWA,2.884,2.876,2.863,2.842,2.812
Central African Republic,CAF,5.215,5.172,5.123,5.067,5.006
Canada,CAN,1.6269,1.61,1.6142,1.587,1.5818
Central Europe and the Baltics,CEB,1.465324502,1.396147223,1.415725085,1.387890342,1.435310898
Switzerland,CHE,1.52,1.52,1.52,1.52,1.54
Channel Islands,CHI,1.436,1.444,1.451,1.459,1.465
Chile,CHL,1.879,1.856,1.834,1.815,1.798
China,CHN,1.59,1.594,1.599,1.604,1.61
Cote d'Ivoire,CIV,5.269,5.216,5.16,5.101,5.039
Cameroon,CMR,5.111,5.049,4.984,4.917,4.848
"Congo, Dem. Rep.",COD,6.544,6.493,6.432,6.363,6.286
"Congo, Rep.",COG,4.948,4.915,4.876,4.83,4.778
Colombia,COL,2.01,1.978,1.948,1.921,1.897
Comoros,COM,4.754,4.693,4.628,4.561,4.491
Cabo Verde,CPV,2.666,2.593,2.528,2.47,2.419
Costa Rica,CRI,1.922,1.893,1.866,1.841,1.819
Caribbean small states,CSS,2.151960299,2.129617474,2.107826685,2.087221061,2.068476549
Cuba,CUB,1.639,1.663,1.685,1.702,1.713
Curacao,CUW,2.2,2.1,2.2,2.1,2
Cayman Islands,CYM,,,,,
Cyprus,CYP,1.424,1.405,1.388,1.373,1.36
Czech Republic,CZE,1.51,1.43,1.45,1.46,1.53
Germany,DEU,1.39,1.39,1.41,1.42,1.47
Djibouti,DJI,3.301,3.213,3.131,3.055,2.982
Dominica,DMA,,,,,
Denmark,DNK,1.87,1.75,1.73,1.67,1.69
Dominican Republic,DOM,2.597,2.568,2.539,2.51,2.481
Algeria,DZA,2.889,2.925,2.936,2.924,2.89
East Asia & Pacific (excluding high income),EAP,1.843868735,1.843835377,1.844447451,1.844943876,1.845948266
Early-demographic dividend,EAR,2.763140439,2.7175805,2.675808174,2.638514228,2.603171959
East Asia & Pacific,EAS,1.797065177,1.799659037,1.805001697,1.800429048,1.802520863
Europe & Central Asia (excluding high income),ECA,1.847441673,1.843513129,1.897218967,1.909744489,1.942261009
Europe & Central Asia,ECS,1.727758007,1.712783286,1.73832579,1.727671916,1.753778387
Ecuador,ECU,2.656,2.628,2.599,2.571,2.542
"Egypt, Arab Rep.",EGY,3.185,3.253,3.306,3.335,3.336
Euro area,EMU,1.57978805,1.561492973,1.553827871,1.530211295,1.554172196
Eritrea,ERI,4.605,4.525,4.444,4.363,4.285
Spain,ESP,1.37,1.34,1.32,1.27,1.32
Estonia,EST,1.72,1.61,1.56,1.52,1.54
Ethiopia,ETH,4.924,4.798,4.677,4.556,4.437
European Union,EUU,1.611578219,1.581159346,1.582512639,1.548685114,1.570965783
Fragile and conflict affected situations,FCS,4.793927692,4.740904538,4.686884032,4.630940311,4.572811997
Finland,FIN,1.87,1.83,1.8,1.75,1.71
Fiji,FJI,2.669,2.641,2.615,2.59,2.565
France,FRA,2.03,2.01,2.01,1.99,2.01
Faroe Islands,FRO,2.5,2.3,2.6,2.5,2.6
"Micronesia, Fed. Sts.",FSM,3.46,3.402,3.347,3.294,3.243
Gabon,GAB,4.083,4.05,4.01,3.963,3.91
United Kingdom,GBR,1.92,1.91,1.92,1.83,1.81
Georgia,GEO,1.918,1.954,1.98,1.996,2.003
Ghana,GHA,4.273,4.234,4.192,4.146,4.096
Gibraltar,GIB,,,,,
Guinea,GIN,5.336,5.256,5.175,5.094,5.014
"Gambia, The",GMB,5.707,5.676,5.638,5.595,5.544
Guinea-Bissau,GNB,5.049,4.987,4.923,4.855,4.784
Equatorial Guinea,GNQ,5.209,5.126,5.04,4.952,4.864
Greece,GRC,1.48,1.4,1.34,1.29,1.3
Grenada,GRD,2.24,2.217,2.194,2.171,2.148
Greenland,GRL,2.195,2.117,2.019,2.077,2.037
Guatemala,GTM,3.375,3.292,3.219,3.151,3.089
Guam,GUM,2.472,2.448,2.427,2.406,2.386
Guyana,GUY,2.655,2.63,2.606,2.582,2.559
High income,HIC,1.70262262,1.685613385,1.691263747,1.658145799,1.669575529
"Hong Kong SAR, China",HKG,1.127,1.204,1.285,1.125,1.235
Honduras,HND,2.871,2.777,2.694,2.621,2.559
Heavily indebted poor countries (HIPC),HPC,5.342115984,5.261104607,5.179465363,5.09768084,5.016450564
Croatia,HRV,1.55,1.48,1.51,1.46,1.46
Haiti,HTI,3.325,3.245,3.169,3.098,3.033
Hungary,HUN,1.25,1.23,1.34,1.35,1.44
IBRD only,IBD,2.14880429,2.133248085,2.124541718,2.111989761,2.103099807
IDA & IBRD total,IBT,2.645381771,2.627265751,2.615164107,2.601218527,2.590092096
IDA total,IDA,4.408726119,4.349224995,4.292490858,4.240136251,4.187627158
IDA blend,IDB,4.48262476,4.430582896,4.380440141,4.341551366,4.295989139
Indonesia,IDN,2.483,2.471,2.455,2.436,2.414
IDA only,IDX,4.372200326,4.309046393,4.249099737,4.190135585,4.134252574
Isle of Man,IMN,,,,,
India,IND,2.601,2.534,2.475,2.425,2.384
Not classified,INX,,,,,
Ireland,IRL,2.05,2.03,2,1.96,1.94
"Iran, Islamic Rep.",IRN,1.765,1.755,1.742,1.727,1.708
Iraq,IRQ,4.562,4.557,4.542,4.515,4.476
Iceland,ISL,2.2,2.02,2.04,1.93,1.93
Israel,ISR,3.03,2.98,3.05,3.03,3.08
Italy,ITA,1.46,1.44,1.43,1.39,1.37
Jamaica,JAM,2.173,2.136,2.102,2.072,2.047
Jordan,JOR,3.663,3.638,3.604,3.56,3.506
Japan,JPN,1.39,1.39,1.41,1.43,1.42
Kazakhstan,KAZ,2.6,2.59,2.62,2.64,2.74
Kenya,KEN,4.373,4.267,4.165,4.072,3.989
Kyrgyz Republic,KGZ,3.1,3.1,3.2,3.1,3.2
Cambodia,KHM,2.875,2.805,2.739,2.682,2.634
Kiribati,KIR,3.843,3.822,3.796,3.766,3.731
St. Kitts and Nevis,KNA,,,,,
"Korea, Rep.",KOR,1.226,1.244,1.297,1.187,1.205
Kuwait,KWT,2.215,2.151,2.094,2.046,2.011
Latin America & Caribbean (excluding high income),LAC,2.205084968,2.182579073,2.161501971,2.140926107,2.120431896
